County_FIPS,SVI_county,priority_high_demand,priority_SVI_hotspot,priority_SVI_pop,priority_hotspot,percentage_scenario_high_demand_base_case_capacity_low,percentage_scenario_high_demand_base_case_capacity_mid,percentage_scenario_high_demand_base_case_capacity_high,percentage_scenario_SVI_hotspot_base_case_capacity_low,percentage_scenario_SVI_hotspot_base_case_capacity_mid,percentage_scenario_SVI_hotspot_base_case_capacity_high,percentage_scenario_SVI_pop_base_case_capacity_low,percentage_scenario_SVI_pop_base_case_capacity_mid,percentage_scenario_SVI_pop_base_case_capacity_high,percentage_scenario_hotspot_base_case_capacity_low,percentage_scenario_hotspot_base_case_capacity_mid,percentage_scenario_hotspot_base_case_capacity_high
35045,0.6060606060606061,0.022973996465539007,0.04797606630117701,0.011674831751563669,0.07756130718690284,71.97802197802197,100.0,100.0,71.97802197802197,100.0,100.0,100.0,100.0,100.0,71.97802197802197,100.0,100.0
35051,0.5757575757575758,0.0,0.0,0.0009682380960802763,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
35053,0.8484848484848485,0.0003786922494319616,0.00830061927205862,0.002179427701064908,0.009585238921305788,66.66666666666666,100.0,100.0,66.66666666666666,100.0,100.0,0.0,100.0,100.0,66.66666666666666,100.0,100.0
36047,0.967741935483871,0.0,0.0,0.38042049071830286,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
36081,0.7903225806451613,0.0,0.0,0.2745726283172193,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
36087,0.7580645161290323,0.018050997222923505,0.01856574408176446,0.0370875337322872,0.023996214250533304,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
37083,0.9,0.002777076495834385,0.02121573184480038,0.007037234915851472,0.023096812446078977,77.27272727272727,100.0,100.0,86.36363636363636,100.0,100.0,0.0,100.0,100.0,86.36363636363636,100.0,100.0
38005,0.9622641509433962,0.00012623074981065388,0.007746782408388975,0.0010007489246905087,0.007887939861661263,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
40001,0.8701298701298701,0.0006311537490532694,0.01090687875780288,0.0029075063911730703,0.012281543410527621,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
40139,0.6883116883116883,0.002903307245645039,0.04155206134306575,0.0021965965997384636,0.059148531765076826,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
41049,0.8333333333333334,0.00012623074981065388,0.004119206324106114,0.0014118279584992039,0.004843188041676278,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
45009,0.8478260869565217,0.001009845998485231,0.025753601783001578,0.0018701783108423357,0.029762385691725728,87.5,100.0,100.0,87.5,100.0,100.0,-0.0,100.0,100.0,87.5,100.0,100.0
45033,0.8695652173913043,0.0022721534965917697,0.028107229291505074,0.004056722251076857,0.03167031744916557,100.0,100.0,100.0,100.0,100.0,100.0,61.111111111111114,100.0,100.0,100.0,100.0,100.0
45053,0.8043478260869565,0.0006311537490532694,0.00799104843487355,0.003391203782612232,0.009734113599892376,100.0,100.0,100.0,100.0,100.0,100.0,-0.0,100.0,100.0,100.0,100.0,100.0
45075,0.6956521739130435,0.007573844988639233,0.026158930832841272,0.00929993264856565,0.03684379715155864,95.0,100.0,100.0,96.66666666666667,100.0,100.0,100.0,100.0,100.0,96.66666666666667,100.0,100.0
45089,0.8913043478260869,0.0022721534965917697,0.02797354004983659,0.004282506965415152,0.030750908032118964,72.22222222222221,100.0,100.0,77.77777777777779,100.0,100.0,44.44444444444444,100.0,100.0,77.77777777777779,100.0,100.0
47007,0.9157894736842105,0.0003786922494319616,0.010430343891797833,0.002020435725506516,0.01115936595412946,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0
47061,0.968421052631579,0.0,0.0,0.0019505536749222236,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
48003,0.20078740157480315,0.0,0.0,0.0005399660476302577,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
48013,0.7322834645669292,0.0003786922494319616,0.0024941675003886045,0.005403705812136631,0.003337205326087457,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
48017,0.6417322834645669,0.0008836152486745772,0.035113754661959526,0.0006871155849019814,0.053611742415650906,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0
48025,0.9133858267716536,0.0008836152486745772,0.010842218923789108,0.004512460843422425,0.011630555113388891,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
48069,0.6062992125984252,0.00012623074981065388,0.004316292812527386,0.0007128241166323133,0.006975260548015855,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0
48079,0.7519685039370079,0.0,0.0,0.0003292765310974369,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
48095,0.14566929133858267,0.0,0.0,9.241015695882066e-05,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
48101,0.8622047244094488,0.0,0.0,0.00021072105563243914,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
48103,0.2047244094488189,0.00025246149962130775,0.004690704451708223,0.00014894667087261265,0.022449412642033255,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0
48113,0.5787401574803149,0.19035597071446606,0.018705004427257213,0.22626138997693046,0.03166727816111889,100.0,100.0,100.0,88.92572944297082,100.0,100.0,100.0,100.0,100.0,88.92572944297082,100.0,100.0
48117,0.7125984251968503,0.0011360767482958849,0.018812331031616652,0.0020348009491423505,0.025866299009820366,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0
48153,0.6850393700787402,0.0005049229992426155,0.025869232593245646,0.0006072157390992825,0.037000241067710805,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0
48169,0.515748031496063,0.0,0.0,0.0004893904235443148,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
48177,0.8110236220472441,0.002903307245645039,0.050035468413284566,0.0025326920526498103,0.0604478704896786,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0
48195,0.5905511811023622,0.00012623074981065388,0.005901921735713715,0.0004943426572617311,0.009792023415792222,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0
48201,0.5196850393700787,0.22443827316334258,0.011129356991344473,0.36152835842978714,0.020982942879763173,100.0,100.0,100.0,90.77615298087738,100.0,100.0,100.0,100.0,100.0,90.77615298087738,100.0,100.0
48207,0.9251968503937008,0.0,0.0,0.0008115575655259173,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
48249,0.8503937007874016,0.00025246149962130775,0.0022889231991612803,0.0052938926180394015,0.0026372282912895447,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
48255,0.7165354330708661,0.0,0.0,0.00166568339429885,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
48271,0.7401574803149606,0.0,0.0,0.0004103474891274701,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
48279,0.8149606299212598,0.00012623074981065388,0.0034066041786944266,0.001632835124507768,0.004095638205956828,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0
48301,0.5826771653543307,0.0,0.0,8.191834817826694e-06,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
48341,0.484251968503937,0.017041151224438274,0.16623513404834822,0.0015949221513798764,0.33634731318741923,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0
48357,0.30708661417322836,0.0003786922494319616,0.004935370834372459,0.0004795216607505593,0.01574691357384986,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0
48369,0.5866141732283464,0.0022721534965917697,0.05941481145350295,0.0008727511547908869,0.09923816179183823,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0
48371,0.6692913385826772,0.0035344609946983086,0.06576467640340948,0.001597282823232435,0.09627510975800373,85.71428571428571,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0
48375,0.8543307086614174,0.031683918202474126,0.09832661754194673,0.015611112249576167,0.11276689489356624,85.65737051792829,100.0,100.0,97.21115537848605,100.0,100.0,100.0,100.0,100.0,97.21115537848605,100.0,100.0
48389,0.610236220472441,0.00012623074981065388,0.0022366429882272687,0.0013942930125479256,0.0035911638933817827,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0
48419,0.889763779527559,0.0015147689977278464,0.02323189867389559,0.00342568059800329,0.025582708479817626,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
48435,0.3425196850393701,0.0,0.0,0.00019930628188003817,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
48437,0.9173228346456693,0.0,0.0,0.0010368877701324697,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
48463,0.9015748031496063,0.0005049229992426155,0.007401970019645709,0.0036797982645557373,0.008044185847295266,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
48465,0.9094488188976378,0.0003786922494319616,0.0030850220203189746,0.006738600583788423,0.0033236596500336216,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
48501,0.2204724409448819,0.0,0.0,0.00028483139388445997,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51027,0.8120300751879699,0.0,0.0,0.00271638370617402,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51051,0.7593984962406015,0.0,0.0,0.0017163594567034524,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51105,0.8872180451127819,0.00012623074981065388,0.002037957521556886,0.003235642976965227,0.002250615475569713,100.0,100.0,100.0,100.0,100.0,100.0,-0.0,0.0,100.0,100.0,100.0,100.0
51183,0.9473684210526315,0.0026508457460237313,0.09602038798863598,0.0016439394558019603,0.09930728118016617,0.0,66.66666666666666,100.0,0.0,80.95238095238095,100.0,-0.0,0.0,100.0,0.0,80.95238095238095,100.0
51195,0.9097744360902256,0.00012623074981065388,0.00129236410511639,0.005365617667028437,0.001391834820945534,100.0,100.0,100.0,100.0,100.0,100.0,-0.0,100.0,100.0,100.0,100.0,100.0
51640,1.0,0.0026508457460237313,0.1753784050777676,0.0010025399054161429,0.17183540699538846,66.66666666666666,100.0,100.0,66.66666666666666,100.0,100.0,-0.0,0.0,100.0,66.66666666666666,100.0,100.0
51710,0.8270676691729323,0.00845746023731381,0.012508225455023697,0.030700906726049308,0.014818054783770497,28.35820895522388,76.11940298507463,100.0,40.298507462686565,86.56716417910447,100.0,100.0,100.0,100.0,40.298507462686565,86.56716417910447,100.0
51720,0.9398496240601504,0.0,0.0,0.0005660197242243365,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
54005,0.8363636363636363,0.0003786922494319616,0.006096097775546277,0.0028836439841390207,0.0071415638191786104,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
54015,0.8,0.00025246149962130775,0.010096533401902346,0.001061488267834704,0.01236570378768343,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
54043,0.6545454545454545,0.0,0.0,0.0020845460291788955,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1047,0.9253731343283582,0.007447614238828578,0.07561156501854134,0.005598057684270133,0.08005857951376671,76.27118644067797,100.0,100.0,76.27118644067797,100.0,100.0,100.0,100.0,100.0,76.27118644067797,100.0,100.0
1087,0.835820895522388,0.002019691996970462,0.038908197850883175,0.002406377221493348,0.04561045776206526,0.0,93.75,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0
1119,0.9402985074626866,0.002777076495834385,0.08831623433676125,0.0018447119002921717,0.09202616754122357,81.81818181818183,100.0,100.0,81.81818181818183,100.0,100.0,0.0,100.0,100.0,81.81818181818183,100.0,100.0
2016,0.4482758620689655,0.0,0.0,0.0003888097929925878,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2070,0.8275862068965517,0.0,0.0,0.0006215281291542813,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2164,0.7931034482758621,0.0,0.0,0.00016403984345231834,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2180,0.896551724137931,0.0,0.0,0.0013441798046037506,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4017,1.0,0.03711184044433224,0.14993115257519984,0.016429930948942496,0.1469022404019635,10.54421768707483,36.394557823129254,88.43537414965986,36.394557823129254,81.29251700680273,96.93877551020408,-0.0,-0.0,100.0,36.394557823129254,81.29251700680273,96.93877551020408
4023,0.7333333333333333,0.03130522595304216,0.21642648165377112,0.005162722335835396,0.28916485840793116,43.145161290322584,79.83870967741935,86.69354838709677,79.83870967741935,86.69354838709677,95.16129032258065,-0.0,-0.0,0.0,79.83870967741935,86.69354838709677,95.16129032258065
4027,0.9333333333333333,0.09808129260287807,0.1934397476789164,0.029318269911775767,0.20306986498760704,36.293436293436294,59.716859716859716,87.64478764478764,52.509652509652504,77.60617760617761,99.87129987129987,-0.0,24.581724581724583,100.0,52.509652509652504,77.60617760617761,99.87129987129987
5017,1.0,0.0008836152486745772,0.03584462876119901,0.001635554628003153,0.03512049484683135,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0
5123,0.9733333333333334,0.006942691239585963,0.1128656266422898,0.003867555269333254,0.11361525305419375,78.18181818181819,100.0,100.0,78.18181818181819,100.0,100.0,100.0,100.0,100.0,78.18181818181819,100.0,100.0
6011,0.603448275862069,0.00012623074981065388,0.0015585597655446346,0.001956961322689536,0.002530579290318648,0.0,100.0,100.0,100.0,100.0,100.0,-0.0,100.0,100.0,100.0,100.0,100.0
8023,0.9375,0.00025246149962130775,0.028191760938679856,0.0005216667496161403,0.02946371244231053,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
12043,0.8059701492537313,0.0037869224943196163,0.10030678551034601,0.0016271173193370444,0.12194047868158225,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
12067,0.9402985074626866,0.00012623074981065388,0.005961419273802529,0.0012419564346940694,0.006211842850800488,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
13043,0.9811320754716981,0.00012623074981065388,0.005023580972290872,0.0016048284714140105,0.005016750151232978,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0
