FIPS,high_demand_priority,SVI_hotspot_priority,SVI_pop_priority,hotspot_priority
05117,0,0.883964486,0.834597953,0
05119,0.007112692,0.884553788,0.839772757,0.004216714
05121,0.000333407,0.884651621,0.834760843,0.00431365
05123,0.012891754,0.90978072,0.8350045,0.11984057
05125,0.000777951,0.884073599,0.835358377,0.001476274
05127,0,0.883964486,0.834680438,0
05129,0,0.883964486,0.834558672,0
05131,0.000222272,0.884039277,0.836769371,0.000404007
05133,0.000666815,0.885518675,0.834764795,0.009109723
05135,0.000666815,0.885186898,0.834716409,0.008882528
05137,0.000111136,0.884198652,0.834621595,0.00206473
05139,0.001667037,0.885757138,0.835153291,0.010012995
05141,0.000111136,0.884215174,0.834741242,0.001560684
05143,0.001667037,0.88420728,0.837947144,0.00161933
05145,0.000222272,0.884073025,0.835743172,0.000655759
05147,0,0.883964486,0.834599813,0
05149,0.000222272,0.884436941,0.834886934,0.002419897
06001,0.029784397,0.884397164,0.851347121,0.004140516
06003,0,0.883964486,0.834502312,0
06005,0,0.883964486,0.834939728,0
06007,0.000333407,0.884027838,0.838278086,0.000353419
06009,0,0.883964486,0.83471618,0
06011,0,0.883964486,0.834828526,0
06013,0.010224494,0.88415021,0.84452853,0.002059407
06015,0,0.883964486,0.835064424,0
06017,0.000666815,0.88399731,0.835245364,0.000803395
06019,0.024561014,0.885184749,0.855093177,0.005711689
06021,0.000111136,0.884144305,0.835026689,0.000909432
06023,0.000555679,0.884125493,0.836697206,0.000952416
06025,0.014892198,0.888199513,0.838365324,0.019093797
06027,0,0.883964486,0.834705371,0
06029,0.023227384,0.88525167,0.853145918,0.005994983
06031,0.01300289,0.888226863,0.83767087,0.019753607
06033,0.000111136,0.884046306,0.835752916,0.000401042
06035,0,0.883964486,0.834878152,0
06037,0.55567904,0.886160582,1,0.012860462
06039,0.00133363,0.884382195,0.837706214,0.001969517
06041,0.00211158,0.884078294,0.835985036,0.001895516
06043,0.000555679,0.884847504,0.834680078,0.007504944
06045,0.000111136,0.884022831,0.836126392,0.000297658
06047,0.003111803,0.884526889,0.84027555,0.002603725
06049,0,0.883964486,0.834627268,0
06051,0.000444543,0.884188295,0.834528303,0.007150792
06053,0.004667704,0.884408245,0.841927971,0.002498505
06055,0.000666815,0.884090773,0.835977859,0.001124761
06057,0.000111136,0.883976253,0.834922477,0.000258849
06059,0.070237831,0.884443224,0.863049043,0.005138784
06061,0.001222494,0.883988563,0.835783235,0.00071307
06063,0,0.883964486,0.83459174,0
06065,0.076016893,0.885226113,0.876579375,0.007148992
06067,0.005779062,0.884105601,0.858927657,0.000865121
06069,0.000444543,0.884156217,0.835191671,0.001644473
06071,0.063125139,0.885311902,0.876641403,0.006727544
06073,0.101244721,0.88484102,0.874578329,0.007046456
06075,0.026450322,0.884570552,0.841884169,0.006971274
06077,0.004667704,0.884245748,0.849029452,0.001422956
06079,0.002667259,0.884146419,0.836756513,0.002188951
06081,0.018226273,0.884289901,0.838844472,0.005524233
06083,0.055123361,0.888498615,0.841298936,0.028684206
06085,0.011002445,0.884069331,0.849201897,0.001325999
06087,0.000777951,0.88404434,0.837668633,0.000661574
06089,0.000111136,0.883986868,0.837198564,0.000143389
06091,0,0.883964486,0.83448757,0
06093,0,0.883964486,0.835159595,0
06095,0.008335186,0.884532936,0.840163521,0.004326245
06097,0.004445432,0.884151892,0.838765551,0.002089389
06099,0.009779951,0.884760225,0.844736969,0.00412649
06101,0,0.883964486,0.836320677,0
06103,0,0.883964486,0.835828963,0
06105,0.000111136,0.884310747,0.834680054,0.002101873
06107,0.031229162,0.887222503,0.843906785,0.015563969
06109,0.000111136,0.884013879,0.835032778,0.000473981
06111,0.009002,0.884229812,0.843250819,0.002472255
06113,0.000555679,0.884052575,0.837687514,0.000585522
06115,0.000333407,0.88417068,0.836075098,0.000984702
08001,0.042565014,0.886467824,0.841027636,0.01911333
08003,0.00133363,0.887975076,0.834813955,0.019088161
08005,0.050455657,0.885020991,0.838235864,0.017854317
08007,0,0.883964486,0.834562035,0
08009,0.000111136,0.884939991,0.834531429,0.007210698
08011,0.000111136,0.884888814,0.834592152,0.00463
08013,0.011780396,0.884282319,0.835677591,0.008390906
08014,0.002889531,0.884068262,0.834558759,0.009527556
08015,0.000111136,0.884031849,0.834589026,0.001268496
