County FIPS,demand_covered,total_demand_of_county,hot_spot,county_name,state_name,priority,percentage_for_30,percentage_for_50,percentage_for_70
29111,0,0,0,Lewis,MO,0,100,100,100
29113,21,21,0.035585379,Lincoln,MO,10.45854303,100,100,100
29115,0,0,0,Linn,MO,0,100,100,100
29117,1,1,0.006567282,Livingston,MO,2.461417219,100,100,100
29119,0,0,0,McDonald,MO,0,100,100,100
29121,1,1,0.006615069,Macon,MO,3.876430509,100,100,100
29123,2,2,0.016545334,Madison,MO,7.903706155,100,100,100
29125,0,0,0,Maries,MO,0,100,100,100
29127,0,0,0,Marion,MO,0,100,100,100
29129,0,0,0,Mercer,MO,0,100,100,100
29131,1,1,0.003903353,Miller,MO,1.955579843,100,100,100
29133,13,13,0.098634294,Mississippi,MO,89.52048558,100,100,100
29135,0,0,0,Moniteau,MO,0,100,100,100
29137,0,0,0,Monroe,MO,0,100,100,100
29139,0,0,0,Montgomery,MO,0,100,100,100
29141,2,2,0.009696029,Morgan,MO,6.09880254,100,100,100
29143,2,2,0.011712345,New Madrid,MO,10.50363083,100,100,100
29145,1,1,0.001717151,Newton,MO,0.745415207,100,100,100
29147,1,1,0.004526525,Nodaway,MO,1.004888647,100,100,100
29149,1,1,0.009497578,Oregon,MO,4.63956691,100,100,100
29151,0,0,0,Osage,MO,0,100,100,100
29153,0,0,0,Ozark,MO,0,100,100,100
29155,21,21,0.132869345,Pemiscot,MO,123.6083518,100,100,100
29157,2,2,0.010451505,Perry,MO,2.41638796,100,100,100
29159,18,18,0.042513994,Pettis,MO,34.15999433,100,100,100
29161,1,1,0.002243511,Phelps,MO,1.479819622,100,100,100
29163,2,2,0.010927767,Pike,MO,5.874767785,100,100,100
29165,8,8,0.007661514,Platte,MO,0.734739221,100,100,100
29167,0,0,0,Polk,MO,0,100,100,100
29169,1,1,0.001900888,Pulaski,MO,1.236147281,100,100,100
29171,0,0,0,Putnam,MO,0,100,100,100
29173,0,0,0,Ralls,MO,0,100,100,100
29175,0,0,0,Randolph,MO,0,100,100,100
29177,1,1,0.004344426,Ray,MO,1.117820836,100,100,100
29179,0,0,0,Reynolds,MO,0,100,100,100
29181,0,0,0,Ripley,MO,0,100,100,100
29183,45,45,0.011193417,St. Charles,MO,0.406321047,100,100,100
29185,0,0,0,St. Clair,MO,0,100,100,100
29186,1,1,0.005588465,Ste. Genevieve,MO,1.053425729,100,100,100
29187,3,3,0.004463289,St. Francois,MO,3.131443874,100,100,100
29189,435,435,0.043753552,St. Louis,MO,11.42405238,100,100,100
29195,20,20,0.087869602,Saline,MO,71.71916875,100,100,100
29197,0,0,0,Schuyler,MO,0,100,100,100
29199,0,0,0,Scotland,MO,0,100,100,100
29201,8,8,0.020898642,Scott,MO,16.39289446,100,100,100
29203,0,0,0,Shannon,MO,0,100,100,100
29205,0,0,0,Shelby,MO,0,100,100,100
29207,6,6,0.020671835,Stoddard,MO,9.597932817,100,100,100
29209,0,0,0,Stone,MO,0,100,100,100
29211,1,1,0.016423058,Sullivan,MO,10.3399573,100,100,100
29213,1,1,0.001788013,Taney,MO,1.469210413,100,100,100
29215,0,0,0,Texas,MO,0,100,100,100
29217,1,1,0.004863104,Vernon,MO,2.193259738,100,100,100
29219,3,3,0.008415383,Warren,MO,3.232348733,100,100,100
29221,1,1,0.004043672,Washington,MO,3.196118075,100,100,100
29223,0,0,0,Wayne,MO,0,100,100,100
29225,2,2,0.005051526,Webster,MO,3.225399071,100,100,100
29227,0,0,0,Worth,MO,0,100,100,100
29229,1,1,0.005467768,Wright,MO,4.92427142,100,100,100
29510,194,194,0.064542745,St. Louis City,MO,50.31752369,100,100,100
30001,0,0,0,Beaverhead,MT,0,100,100,100
30003,0,0,0,Big Horn,MT,0,100,100,100
30005,0,0,0,Blaine,MT,0,100,100,100
30007,0,0,0,Broadwater,MT,0,100,100,100
30009,0,0,0,Carbon,MT,0,100,100,100
30011,0,0,0,Carter,MT,0,100,100,100
30013,1,1,0.001229015,Cascade,MT,0.504141779,100,100,100
30015,0,0,0,Chouteau,MT,0,100,100,100
30017,0,0,0,Custer,MT,0,100,100,100
30019,0,0,0,Daniels,MT,0,100,100,100
30021,0,0,0,Dawson,MT,0,100,100,100
30023,0,0,0,Deer Lodge,MT,0,100,100,100
30025,0,0,0,Fallon,MT,0,100,100,100
30027,1,1,0.009049774,Fergus,MT,2.150226244,100,100,100
